perf,type,difficulty,sessionID,userID
75.0,NO,1,1,3051
75.0,NO,2,1,3051
65.0,NO,3,1,3051
55.0,NO,4,1,3051
75.0,DO,1,1,3051
84.61538461538461,DO,2,1,3051
82.3529411764706,DO,3,1,3051
40.0,DO,4,1,3051
100.0,SO,1,1,3051
86.66666666666667,SO,2,1,3051
54.54545454545455,SO,3,1,3051
54.54545454545455,SO,4,1,3051
100.0,NO,1,2,3051
85.0,NO,2,2,3051
70.0,NO,3,2,3051
75.0,NO,4,2,3051
100.0,DO,1,2,3051
88.88888888888889,DO,2,2,3051
93.33333333333333,DO,3,2,3051
50.0,DO,4,2,3051
87.5,SO,1,2,3051
88.23529411764706,SO,2,2,3051
84.61538461538461,SO,3,2,3051
64.28571428571429,SO,4,2,3051
65.0,NO,1,3,3051
90.0,NO,2,3,3051
65.0,NO,3,3,3051
50.0,NO,4,3,3051
66.66666666666667,DO,1,3,3051
66.66666666666667,DO,2,3,3051
66.66666666666667,DO,3,3,3051
66.66666666666667,DO,4,3,3051
90.9090909090909,SO,1,3,3051
87.5,SO,2,3,3051
87.5,SO,3,3,3051
72.72727272727273,SO,4,3,3051
85.0,NO,1,4,3051
85.0,NO,2,4,3051
50.0,NO,3,4,3051
65.0,NO,4,4,3051
87.5,DO,1,4,3051
75.0,DO,2,4,3051
73.33333333333333,DO,3,4,3051
50.0,DO,4,4,3051
100.0,SO,1,4,3051
93.33333333333333,SO,2,4,3051
83.33333333333333,SO,3,4,3051
66.66666666666667,SO,4,4,3051
85.0,NO,1,5,3051
75.0,NO,2,5,3051
85.0,NO,3,5,3051
50.0,NO,4,5,3051
94.44444444444444,DO,1,5,3051
81.25,DO,2,5,3051
83.33333333333333,DO,3,5,3051
61.111111111111114,DO,4,5,3051
90.9090909090909,SO,1,5,3051
100.0,SO,2,5,3051
64.28571428571429,SO,3,5,3051
60.0,SO,4,5,3051
100.0,NO,1,6,3051
95.0,NO,2,6,3051
65.0,NO,3,6,3051
45.0,NO,4,6,3051
89.47368421052632,DO,1,6,3051
94.73684210526316,DO,2,6,3051
70.0,DO,3,6,3051
55.55555555555556,DO,4,6,3051
100.0,SO,1,6,3051
87.5,SO,2,6,3051
69.23076923076923,SO,3,6,3051
50.0,SO,4,6,3051
85.0,NO,1,7,3051
65.0,NO,2,7,3051
60.0,NO,3,7,3051
50.0,NO,4,7,3051
100.0,DO,1,7,3051
81.25,DO,2,7,3051
73.6842105263158,DO,3,7,3051
37.5,DO,4,7,3051
92.3076923076923,SO,1,7,3051
93.75,SO,2,7,3051
91.66666666666667,SO,3,7,3051
42.857142857142854,SO,4,7,3051
90.0,NO,1,8,3051
90.0,NO,2,8,3051
60.0,NO,3,8,3051
55.0,NO,4,8,3051
100.0,DO,1,8,3051
81.25,DO,2,8,3051
75.0,DO,3,8,3051
68.75,DO,4,8,3051
93.75,SO,1,8,3051
81.81818181818181,SO,2,8,3051
62.5,SO,3,8,3051
66.66666666666667,SO,4,8,3051
75.0,NO,1,9,3051
75.0,NO,2,9,3051
85.0,NO,3,9,3051
60.0,NO,4,9,3051
82.3529411764706,DO,1,9,3051
66.66666666666667,DO,2,9,3051
61.111111111111114,DO,3,9,3051
61.111111111111114,DO,4,9,3051
76.92307692307692,SO,1,9,3051
77.77777777777777,SO,2,9,3051
91.66666666666667,SO,3,9,3051
73.33333333333333,SO,4,9,3051
90.0,NO,1,10,3051
80.0,NO,2,10,3051
75.0,NO,3,10,3051
55.0,NO,4,10,3051
73.6842105263158,DO,1,10,3051
94.44444444444444,DO,2,10,3051
58.8235294117647,DO,3,10,3051
42.10526315789474,DO,4,10,3051
92.85714285714286,SO,1,10,3051
90.9090909090909,SO,2,10,3051
83.33333333333333,SO,3,10,3051
53.84615384615385,SO,4,10,3051
75.0,NO,1,11,3051
75.0,NO,2,11,3051
75.0,NO,3,11,3051
60.0,NO,4,11,3051
66.66666666666667,DO,1,11,3051
70.58823529411765,DO,2,11,3051
57.142857142857146,DO,3,11,3051
52.94117647058823,DO,4,11,3051
90.0,SO,1,11,3051
100.0,SO,2,11,3051
57.142857142857146,SO,3,11,3051
71.42857142857143,SO,4,11,3051
90.0,NO,1,12,3051
60.0,NO,2,12,3051
70.0,NO,3,12,3051
65.0,NO,4,12,3051
100.0,DO,1,12,3051
66.66666666666667,DO,2,12,3051
68.42105263157895,DO,3,12,3051
66.66666666666667,DO,4,12,3051
92.3076923076923,SO,1,12,3051
91.66666666666667,SO,2,12,3051
62.5,SO,3,12,3051
50.0,SO,4,12,3051
80.0,NO,1,13,3051
70.0,NO,2,13,3051
80.0,NO,3,13,3051
60.0,NO,4,13,3051
84.21052631578948,DO,1,13,3051
77.77777777777777,DO,2,13,3051
58.8235294117647,DO,3,13,3051
50.0,DO,4,13,3051
94.44444444444444,SO,1,13,3051
76.92307692307692,SO,2,13,3051
66.66666666666667,SO,3,13,3051
38.46153846153846,SO,4,13,3051
80.0,NO,1,14,3051
85.0,NO,2,14,3051
75.0,NO,3,14,3051
55.0,NO,4,14,3051
70.58823529411765,DO,1,14,3051
50.0,DO,2,14,3051
62.5,DO,3,14,3051
42.10526315789474,DO,4,14,3051
75.0,SO,1,14,3051
80.0,SO,2,14,3051
54.54545454545455,SO,3,14,3051
30.76923076923077,SO,4,14,3051
85.0,NO,1,15,3051
40.0,NO,2,15,3051
75.0,NO,3,15,3051
50.0,NO,4,15,3051
73.33333333333333,DO,1,15,3051
56.25,DO,2,15,3051
68.75,DO,3,15,3051
36.8421052631579,DO,4,15,3051
100.0,SO,1,15,3051
78.57142857142857,SO,2,15,3051
64.28571428571429,SO,3,15,3051
57.142857142857146,SO,4,15,3051
85.0,NO,1,16,3051
